"RefDes","Value","Name"
"C3","18pF","CAP_0805"
"C4","18pF","CAP_0805"
"C5","0.1uF","CAP_0805"
"C7","100uF","UUD1C101MCL1GS"
"C8","1uF","CAP_0805"
"C9","10uF","CAP_0805"
"C10","1uF","CAP_0805"
"C11","0.1uF","CAP_0805"
"D2","","LED"
"ESP1","","ESP8266-07"
"F1","","FUSE"
"GPIO0","","PUSHBUTTONNO"
"J1","","PJ-002A"
"MDL1","","VEML7700"
"MQTT","","LED"
"Q1","","NPN"
"Q2","","NPN"
"R1","1K","RES"
"R2","10K","RES_0805"
"R3","10K","RC2012F103CS"
"R4","10K","RC2012F103CS"
"R5","1K","RES"
"R6","10K","RES_0805"
"R7","10K","RES_0805"
"R8","","RES_0805"
"R9","2.2K","RES_0805"
"R10","2.2K","RES_0805"
"R18","12K","RC2012F103CS"
"R23","12K","RC2012F103CS"
"RESET","","PUSHBUTTONNO"
"U1","","CH340G"
"U2","","LT1086IM"
"USB","","5787834-1"
"WIFI","","LED"
"Y1","12Mhz","HC49UP"
