Button_Device_MQTT_Prefix,Button,Action,Channel_Prefix,Comment
lighting/buttons/atom-01,a,SingleClick,lighting/panel_1a/switch/channel_8,Meeting Room
lighting/buttons/atom-01,a,SingleClick,lighting/panel_1a/switch/channel_9,Meeting Room
lighting/buttons/atom-01,a,DoubleClick,lighting/panel_1a/switch/channel_8,Meeting Room
lighting/buttons/atom-01,a,LongClick,lighting/panel_1a/switch/channel_9,Meeting Room
lighting/buttons/atom-02,a,SingleClick,lighting/panel_1a/switch/channel_8,Meeting Room
lighting/buttons/atom-02,a,SingleClick,lighting/panel_1a/switch/channel_9,Meeting Room
lighting/buttons/atom-02,a,DoubleClick,lighting/panel_1a/switch/channel_8,Meeting Room
lighting/buttons/atom-02,a,LongClick,lighting/panel_1a/switch/channel_9,Meeting Room
lighting/buttons/atom-03,a,SingleClick,lighting/panel_1a/switch/channel_10,North Basement
lighting/buttons/atom-03,a,SingleClick,lighting/panel_1a/switch/channel_11,South Basement West
lighting/buttons/atom-03,a,SingleClick,lighting/panel_1a/switch/channel_12,South Basement East
lighting/buttons/atom-03,a,DoubleClick,lighting/panel_1a/switch/channel_10,North Basement
lighting/buttons/atom-03,a,LongClick,lighting/panel_1a/switch/channel_11,South Basement
lighting/buttons/atom-04,a,SingleClick,lighting/panel_1c/switch/channel_2,Forge
lighting/buttons/atom-04,a,SingleClick,lighting/panel_1c/switch/channel_4,Forge
lighting/buttons/atom-04,a,DoubleClick,lighting/panel_1c/switch/channel_2,Forge
lighting/buttons/atom-04,a,LongClick,lighting/panel_1c/switch/channel_4,Forge
lighting/buttons/atom-05,a,SingleClick,lighting/panel_1c/switch/channel_6,Welding
lighting/buttons/atom-05,a,SingleClick,lighting/panel_1c/switch/channel_8,Welding
lighting/buttons/atom-05,a,DoubleClick,lighting/panel_1c/switch/channel_6,Welding
lighting/buttons/atom-05,a,LongClick,lighting/panel_1c/switch/channel_8,Welding
lighting/buttons/atom-06,a,SingleClick,lighting/panel_1a/switch/channel_8,Meeting Room
lighting/buttons/atom-06,a,SingleClick,lighting/panel_1a/switch/channel_9,Meeting Room
lighting/buttons/atom-06,a,DoubleClick,lighting/panel_1a/switch/channel_8,Meeting Room
lighting/buttons/atom-06,a,LongClick,lighting/panel_1a/switch/channel_9,Meeting Room
lighting/buttons/atom-07,a,SingleClick,lighting/panel_1c/switch/channel_12,Mercantile
lighting/buttons/atom-07,a,SingleClick,lighting/panel_1c/switch/channel_13,Mercantile
lighting/buttons/atom-07,a,DoubleClick,lighting/panel_1c/switch/channel_12,Mercantile
lighting/buttons/atom-07,a,LongClick,lighting/panel_1c/switch/channel_13,Mercantile
