"Name","Quantity","Value","RefDes","Digi-Key"
"395310002","1","","BUT1",""
"395310002","1","","BUT2",""
"395310002","1","","BUT3",""
"395310002","1","","BUT4",""
"395310002","1","","BUT5",""
"395310002","1","","BUT6",""
"395310002","1","","BUT7",""
"395310002","1","","BUT8",""
"CAP","1","0.1uF","C1",""
"CAP","1","0.1uF","C2",""
"CAP","1","0.1uF","C3",""
"CAP","1","100uF","C4",""
"CAP","1","0.1uF","C5",""
"CAP","1","0.1uF","C6",""
"CAP","1","10uF","C7","493-6361-1-ND"
"CAP","1","100uF","C8",""
"","1","1uF","C11",""
"","1","0.1uF","C14",""
"","1","4.7uF","C15",""
"","1","1uF","C105",""
"LED","8","","CMD",""
"LED","1","","D1",""
"LG R971-KN-1","1","","D101",""
"LG R971-KN-1","1","","D102",""
"FUSE","1","","F1","507-1767-1-ND"
"OSTYC022150","1","","J1",""
"395310002","1","","LED1",""
"395310002","1","","LED2",""
"395310002","1","","LED3",""
"395310002","1","","LED4",""
"395310002","1","","LED5",""
"395310002","1","","LED6",""
"395310002","1","","LED7",""
"395310002","1","","LED8",""
"LED","1","","MQTT",""
"PUSHBUTTONNO","1","","PB1",""
"IRF9393PbF","1","","Q1","http://www.digikey.com/product-detail/en/IRF9393TRPBF/IRF9393TRPBFCT-ND/2354221"
"NPN","1","","Q2",""
"NPN","1","","Q3",""
"NPN","1","","Q4",""
"NPN","1","","Q5",""
"TMOSP","8","","Q101","http://www.digikey.com/product-detail/en/STR1P2UH7/497-15519-1-ND/5244872"
"MOSFET_ENH_N","8","","Q102",""
"RES","1","470","R1",""
"RES","1","470","R2",""
"RES","1","470","R3",""
"RES","1","470","R4",""
"RES","1","470","R5",""
"RES","1","470","R6",""
"RES","1","470","R7",""
"RES","1","470","R8",""
"RES","1","470","R9",""
"RES","1","470","R10",""
"RES","1","470","R13",""
"RES","1","1K","R14",""
"RES","1","470","R15",""
"RES","1","1K","R17",""
"RES","1","470","R18",""
"RES","1","470","R20",""
"RES","1","470","R21",""
"RES","1","470","R22",""
"RES","1","10K","R23",""
"RES","1","1K","R24",""
"","1","22K","R25",""
"RC2012F103CS","1","12K","R26",""
"RC2012F103CS","1","12K","R27",""
"RC2012F103CS","1","10K","R28",""
"RC2012F103CS","1","100K","R29",""
"RC2012F103CS","1","12K","R30",""
"RC2012F103CS","1","12K","R31",""
"","1","1K","R32",""
"","1","1K","R33",""
"","1","1K","R34",""
"","1","47K","R35",""
"RES","8","10K","R101",""
"RES","8","220","R102",""
"RES","8","1K","R103",""
"RES","8","10K","R104",""
"RES","8","10K","R105",""
"SWITCH8DIP","1","","S1","http://www.digikey.com/product-detail/en/BPA08SB/CKN6147-ND/950000"
"644456-2","8","","SSR",""
"MCP23S17_SO","1","","U1",""
"MCP23S17_SO","1","","U2",""
"4PinVoutTab","1","","U3",""
"PACDN042Y3R","1","","U4",""
"PACDN042Y3R","1","","U5",""
"ESP32-WROVER-V4","1","","U6",""
"PACDN042Y3R","1","","U7",""
"CP2104-F03-GM","1","","U103",""
"292304-1","1","","USB",""
"LED","1","","WIFI",""
