Name,Quantity,Value,RefDes,Package,Digi-Key or Link
CAP_0805,1,0.1uF,C1,0805,1276-2450-1-ND
UUD1C101MCL1GS,1,100uF,C2,SMD Radial 6.6mmx6.6mm,493-2262-1-ND
CAP_0805,1,1uF,C3,0805,1276-6495-1-ND
CAP_0805,1,1uF,C4,0805,1276-6495-1-ND
CAP_0805,1,10uF,C5,0805,1276-6456-1-ND
WS2812,1,,D1,8mm LED,https://www.adafruit.com/product/1734
LED,1,,D2,0805,
PUSHBUTTONNO,1,,DEBUG_SW,,
ESP8266-07,1,,ESP1,,https://www.banggood.com/ESP8266-ESP-07-Remote-Serial-Port-WIFI-Transceiver-Wireless-Module-p-968190.html
FUSE,1,,F1,1812,507-1777-1-ND
PUSHBUTTONNO,1,,GPIO1,,
PUSHBUTTONNO,1,,LIGHT_SW,,
LED,1,,MQTT,0805,
RES,1,1K,R1,0805,
RES_0805,1,10K,R2,0805,
RES_0805,1,10K,R3,0805,
RES_0805,1,10K,R4,0805,
RES_0805,1,1K,R5,0805,
RES_0805,1,10K,R6,0805,
RES_0805,1,10K,R7,0805,
RES_0805,1,,R8,0805,
PUSHBUTTONNO,1,,RESET,,
MCP1826_02E/DC,1,,U1,,MCP1826T-3302E/DCCT-ND
LED,1,,WIFI,0805,
Wifi Cable,1,,,,https://www.banggood.com/10cm-PCI-UFL-IPX-to-RPSMA-Female-Jack-Pigtail-Cable-p-924933.html
Wifi Antenna,1,,,,https://www.banggood.com/5dBi-RP-SMA-2_4G-Wi-Fi-Booster-Wireless-Folding-Antenna-For-Router-IP-PC-Camera-p-1004976.html
Enclosure,1,,,,https://www.aliexpress.com/item/1pc-85x58x33mm-Waterproof-Plastic-Electronic-Project-Cover-Box-Enclosure-Case/32663214692.html
Power Jack,1,,,,https://www.banggood.com/10pcs-5_5-x-2_1mm-DC-Power-Supply-Female-Jack-Socket-p-1062018.html
